name,strand,chr,intersections
YAL069W,+,chrI,9
YAL068W-A,+,chrI,5
YAL068C,-,chrI,30
YAL067W-A,+,chrI,2
YAL067C,-,chrI,41
YAL066W,+,chrI,20
YAL065C,-,chrI,7
YAL064W-B,+,chrI,13
YAL064C-A,-,chrI,18
YAL064W,+,chrI,10
YAL063C-A,-,chrI,17
YAL063C,-,chrI,88
YAL062W,+,chrI,63
YAL061W,+,chrI,29
YAL060W,+,chrI,109
YAL059W,+,chrI,244
YAL059C-A,-,chrI,6
YAL058W,+,chrI,59
YAL056C-A,-,chrI,9
YAL056W,+,chrI,217
YAL055W,+,chrI,142
YAL054C,-,chrI,24
YAL053W,+,chrI,795
YAL051W,+,chrI,112
YAL049C,-,chrI,126
YAL047W-A,+,chrI,11
YAL048C,-,chrI,49
YAL047C,-,chrI,118
YAL046C,-,chrI,35
YAL044W-A,+,chrI,56
YAL045C,-,chrI,13
YAL044C,-,chrI,71
YAL043C,-,chrI,141
YAL042W,+,chrI,136
YAL042C-A,-,chrI,2
YAL041W,+,chrI,247
YAL040C,-,chrI,861
YAL039C,-,chrI,330
YAL038W,+,chrI,2305
YAL037C-B,-,chrI,14
YAL037C-A,-,chrI,10
YAL037W,+,chrI,28
YAL036C,-,chrI,593
YAL035W,+,chrI,5857
YAL034W-A,+,chrI,45
YAL034C-B,-,chrI,0
YAL034C,-,chrI,93
YAL033W,+,chrI,174
YAL032C,-,chrI,42
YAL031W-A,+,chrI,1
YAL031C,-,chrI,137
YAL030W,+,chrI,45
YAL030W,+,chrI,80
YAL029C,-,chrI,469
YAL028W,+,chrI,22
YAL027W,+,chrI,43
YAL026C-A,-,chrI,258
YAL026C,-,chrI,340
YAL025C,-,chrI,870
YAL024C,-,chrI,160
YAL023C,-,chrI,647
YAL022C,-,chrI,220
YAL021C,-,chrI,167
YAL019W-A,+,chrI,60
YAL020C,-,chrI,60
YAL019W,+,chrI,844
YAL018C,-,chrI,21
YAL017W,+,chrI,165
YAL016C-B,-,chrI,3
YAL016W,+,chrI,308
YAL016C-A,-,chrI,7
YAL015C,-,chrI,572
YAL014C,-,chrI,75
YAL013W,+,chrI,825
YAL012W,+,chrI,816
YAL011W,+,chrI,220
YAL010C,-,chrI,62
YAL009W,+,chrI,41
YAL008W,+,chrI,52
YAL007C,-,chrI,374
YAL004W,+,chrI,13
YAL005C,-,chrI,5101
YAL003W,+,chrI,211
YAL003W,+,chrI,6403
YAL002W,+,chrI,53
YAL001C,-,chrI,204
YAL001C,-,chrI,35
YAR002W,+,chrI,265
YAR002C-A,-,chrI,340
YAR003W,+,chrI,43
YAR007C,-,chrI,230
YAR008W,+,chrI,80
YAR009C,-,chrI,63816
YAR010C,-,chrI,21450
YAR014C,-,chrI,315
YAR015W,+,chrI,84
YAR018C,-,chrI,92
YAR019W-A,+,chrI,16
YAR019C,-,chrI,85
YAR020C,-,chrI,11
YAR023C,-,chrI,7
YAR027W,+,chrI,159
YAR028W,+,chrI,72
YAR029W,+,chrI,6
YAR031W,+,chrI,30
YAR030C,-,chrI,5
YAR033W,+,chrI,50
YAR035W,+,chrI,749
YAR035C-A,-,chrI,1
YAR042W,+,chrI,1210
YAR047C,-,chrI,9
YAR050W,+,chrI,89
YAR053W,+,chrI,27
YAR060C,-,chrI,14
YAR061W,+,chrI,16
YAR064W,+,chrI,0
YAR066W,+,chrI,19
YAR068W,+,chrI,12
YAR069C,-,chrI,9
YAR070C,-,chrI,22
YAR071W,+,chrI,28
YAR073W,+,chrI,145
YAR075W,+,chrI,21
YJL225W-A,+,chrX,4
YJL225C,-,chrX,1016
YJL225C,-,chrX,98
YJL223C,-,chrX,48
YJL222W-B,+,chrX,0
YJL222W-A,+,chrX,1
YJL222W,+,chrX,141
YJL220W,+,chrX,5
YJL221C,-,chrX,49
YJL219W,+,chrX,15
YJL218W,+,chrX,22
YJL217W,+,chrX,99
YJL216C,-,chrX,26
YJL215C,-,chrX,8
YJL214W,+,chrX,26
YJL213W,+,chrX,24
YJL212C,-,chrX,136
YJL210W,+,chrX,45
YJL211C,-,chrX,2
YJL209W,+,chrX,94
YJL208C,-,chrX,573
YJL207C,-,chrX,537
YJL206C,-,chrX,57
YJL205C,-,chrX,120
YJL205C,-,chrX,90
YJL204C,-,chrX,137
YJL203W,+,chrX,299
YJL202C,-,chrX,3
YJL201W,+,chrX,155
YJL200C,-,chrX,413
YJL199C,-,chrX,14
YJL198W,+,chrX,249
YJL197W,+,chrX,314
YJL197C-A,-,chrX,0
YJL196C,-,chrX,94
YJL194W,+,chrX,50
YJL195C,-,chrX,9
YJL193W,+,chrX,66
YJL192C,-,chrX,268
YJL191W,+,chrX,12
YJL191W,+,chrX,704
YJL190C,-,chrX,3385
YJL189W,+,chrX,241
YJL189W,+,chrX,2134
YJL188C,-,chrX,7
YJL187C,-,chrX,183
YJL186W,+,chrX,493
YJL185C,-,chrX,18
YJL184W,+,chrX,244
YJL183W,+,chrX,233
YJL181W,+,chrX,64
YJL182C,-,chrX,8
YJL180C,-,chrX,117
YJL179W,+,chrX,175
YJL178C,-,chrX,186
YJL177W,+,chrX,556
YJL177W,+,chrX,3557
YJL175W,+,chrX,3
YJL176C,-,chrX,355
YJL174W,+,chrX,684
YJL173C,-,chrX,310
YJL172W,+,chrX,114
YJL171C,-,chrX,258
YJL170C,-,chrX,16
YJL169W,+,chrX,17
YJL168C,-,chrX,603
YJL167W,+,chrX,2663
YJL166W,+,chrX,776
YJL165C,-,chrX,625
YJL164C,-,chrX,52
YJL163C,-,chrX,13
YJL162C,-,chrX,150
YJL161W,+,chrX,24
YJL160C,-,chrX,9
YJL159W,+,chrX,1402
YJL158C,-,chrX,4308
YJL157C,-,chrX,165
YJL156W-A,+,chrX,8
YJL156C,-,chrX,153
YJL155C,-,chrX,261
YJL154C,-,chrX,388
YJL153C,-,chrX,82
YJL152W,+,chrX,30
YJL151C,-,chrX,251
YJL150W,+,chrX,30
YJL149W,+,chrX,66
YJL148W,+,chrX,1833
YJL147C,-,chrX,79
YJL146W,+,chrX,58
YJL145W,+,chrX,266
YJL144W,+,chrX,135
YJL143W,+,chrX,307
YJL142C,-,chrX,32
YJL141C,-,chrX,65
YJL140W,+,chrX,614
YJL139C,-,chrX,70
YJL138C,-,chrX,923
YJL137C,-,chrX,74
YJL136W-A,+,chrX,4
YJL136C,-,chrX,6023
YJL136C,-,chrX,355
YJL135W,+,chrX,7
YJL134W,+,chrX,204
YJL133C-A,-,chrX,470
YJL133W,+,chrX,136
YJL132W,+,chrX,113
YJL131C,-,chrX,150
YJL130C,-,chrX,869
YJL129C,-,chrX,435
YJL128C,-,chrX,404
YJL127W-A,+,chrX,10
YJL127C-B,-,chrX,122
YJL127C,-,chrX,125
YJL126W,+,chrX,29
YJL125C,-,chrX,171
YJL124C,-,chrX,664
YJL123C,-,chrX,1134
YJL122W,+,chrX,925
YJL120W,+,chrX,11
YJL121C,-,chrX,388
YJL118W,+,chrX,143
YJL119C,-,chrX,5
YJL117W,+,chrX,663
YJL116C,-,chrX,53
YJL115W,+,chrX,255
YJL114W,+,chrX,29
YJL113W,+,chrX,19
YJL113W,+,chrX,155
YJL112W,+,chrX,195
YJL111W,+,chrX,339
YJL110C,-,chrX,228
YJL109C,-,chrX,636
YJL108C,-,chrX,155
YJL107C,-,chrX,287
YJL106W,+,chrX,43
YJL105W,+,chrX,20
YJL104W,+,chrX,356
YJL103C,-,chrX,121
YJL102W,+,chrX,220
YJL101C,-,chrX,442
YJL100W,+,chrX,63
YJL099W,+,chrX,150
YJL098W,+,chrX,310
YJL097W,+,chrX,111
YJL096W,+,chrX,303
YJL095W,+,chrX,306
YJL094C,-,chrX,127
